testDateUtc,sport,leftAvgForce,leftImpulse,leftMaxForce,leftTorque,rightAvgForce,rightImpulse,rightMaxForce,rightTorque,ForceSymmetry,ImpulseSymmetry,MaxForceSymmetry,TorqueSymmetry,sbu_id
2022-01-20 17:28:39.286000+00:00,baseball,407.4166666666666,3073.9450000000006,427.75,182.863125,400.0,2929.385,410.75,175.59562499999998,1.0185416666666665,1.0493482420371514,1.0413877054169205,1.0413877054169205,bee762ab
2022-01-26 21:13:21.649000+00:00,baseball,397.1666666666666,3706.670000000001,406.25,173.671875,348.3333333333333,3643.385000000005,376.5,160.95375,1.1401913875598084,1.0173698360178778,1.0790172642762283,1.0790172642762283,bee762ab
2022-02-04 21:10:17.929000+00:00,baseball,332.5,3170.9550000000004,424.75,181.580625,316.4375,3190.1700000000005,400.0,171.0,1.0507604187240769,0.9939768100132594,1.061875,1.061875,bee762ab
2022-02-11 21:19:29.340000+00:00,baseball,314.0,3357.330000000001,387.25,165.549375,295.125,3138.025,364.5,155.82375,1.063955950868276,1.0698863138438988,1.06241426611797,1.06241426611797,bee762ab
2022-08-16 12:20:49.186000+00:00,baseball,437.75,3514.465000000002,443.25,189.489375,443.0,3622.290000000002,449.25,192.054375,0.9881489841986456,0.970232918954584,0.986644407345576,0.986644407345576,bee762ab
2022-08-26 20:29:31.947000+00:00,baseball,394.33333333333337,3115.2350000000006,409.75,175.168125,412.8333333333333,3518.1199999999994,441.5,188.74125,0.955187727089221,0.8854828715336603,0.9280860702151756,0.9280860702151756,bee762ab
2022-09-16 20:30:29.837000+00:00,baseball,360.5,2355.92,382.0,163.305,347.0833333333333,2376.3650000000007,381.75,163.198125,1.038655462184874,0.9913965236821782,1.0006548788474132,1.0006548788474132,bee762ab
2023-01-20 20:39:46.247000+00:00,baseball,289.0625,2118.285,340.5,145.56375,298.25,2201.3849999999984,363.75,155.50312499999998,0.969195305951383,0.9622510374150826,0.936082474226804,0.9360824742268042,bee762ab
2023-09-01 21:57:02.061000+00:00,baseball,321.5,1748.9350000000002,334.0,142.785,324.25,1569.8450000000005,344.0,147.06,0.9915188897455668,1.1140813265003868,0.9709302325581396,0.9709302325581396,bee762ab
2023-12-01 21:13:24.234000+00:00,baseball,331.75,769.8850000000004,331.75,138.83737499999998,298.5,684.1849999999996,298.5,124.92225,1.1113902847571189,1.125258519260143,1.1113902847571189,1.1113902847571189,bee762ab
2024-01-26 21:11:13.166000+00:00,baseball,245.5,579.3500000000001,253.5,108.37125,218.375,495.6950000000001,226.0,96.615,1.124212936462507,1.1687630498592885,1.1216814159292037,1.1216814159292037,bee762ab
2023-12-01 21:45:03.965000+00:00,baseball,508.0,1686.760000000002,508.0,235.458,460.0,1538.1000000000008,460.0,213.21,1.1043478260869566,1.0966517131525917,1.1043478260869566,1.1043478260869564,846c3358
2024-08-28 18:19:57.247000+00:00,baseball,570.5,4462.005000000001,597.75,282.43687500000004,515.125,3914.795000000001,607.0,286.8075,1.1074981800533852,1.1397799884796012,0.9847611202635914,0.9847611202635916,846c3358
2024-10-28 19:58:10.506000+00:00,baseball,483.625,4797.4450000000015,512.75,242.274375,504.125,4829.435000000001,538.25,254.323125,0.959335482271262,0.993376036741358,0.9526242452392012,0.9526242452392012,846c3358
2025-09-02 16:50:13.741000+00:00,baseball,561.75,6502.660000000004,570.5,269.56125000000003,509.25,6406.839999999995,517.25,244.400625,1.1030927835051547,1.0149558908916112,1.1029482841952634,1.1029482841952636,846c3358
2025-09-02 16:53:46.585000+00:00,baseball,515.75,7342.859999999997,540.25,255.26812500000003,416.0,6762.045000000002,416.25,196.678125,1.2397836538461535,1.0858933946757223,1.297897897897898,1.297897897897898,846c3358
2023-09-01 21:43:39.606000+00:00,baseball,371.75,2454.2099999999987,371.75,158.923125,391.75,2367.685,391.75,167.473125,0.9489470325462668,1.0365441348828068,0.9489470325462668,0.9489470325462668,49588f0e
2023-12-01 21:55:12.885000+00:00,baseball,348.25,856.8349999999998,348.25,170.81662500000002,362.5,900.7499999999998,362.5,177.80625,0.9606896551724138,0.9512461837357756,0.9606896551724138,0.960689655172414,49588f0e
2022-01-18 15:49:47.707000+00:00,baseball,240.16666666666663,2352.8499999999995,253.5,106.08975,228.66666666666663,2210.02,245.25,102.637125,1.0502915451895043,1.0646283744038514,1.033639143730887,1.0336391437308867,cd60a318
2022-01-26 21:11:48.728000+00:00,baseball,343.8125,5154.919999999999,404.5,183.84525,378.9375,5718.255,457.25,207.820125,0.9073066138875144,0.9014848061165512,0.8846364133406233,0.8846364133406233,cd60a318
2022-02-04 21:07:28.912000+00:00,baseball,324.1428571428572,7974.750000000005,483.25,219.637125,316.5714285714286,7149.475000000009,510.0,231.795,1.0239169675090254,1.1154315526664538,0.9475490196078432,0.9475490196078432,cd60a318
2022-02-11 21:18:02.659000+00:00,baseball,441.0,6191.7900000000045,526.75,239.407875,459.6666666666666,5323.304999999994,507.5,230.65875,0.9593908629441626,1.1631477061712625,1.0379310344827586,1.0379310344827586,cd60a318
2022-08-26 14:35:37.244000+00:00,baseball,277.75,3383.1449999999977,295.75,123.771375,248.0,2885.895,257.0,107.5545,1.1199596774193548,1.1723035661380603,1.1507782101167314,1.1507782101167314,cd60a318
2022-08-26 20:32:05.030000+00:00,baseball,492.75,7238.859999999983,525.25,238.726125,416.9166666666666,6239.59,443.5,201.57075,1.181890865480712,1.1601499457496378,1.1843291995490417,1.1843291995490417,cd60a318
